id_contrato;id_inadimplencia;fg_pg_em_dia;fg_atraso_30dias;fg_atraso_60dias;fg_atraso_90dias;id_cliente;cidade_cliente;estado_cliente;uf_cliente;ocupacao;faixa_idade;id_veiculo;velocidade_max;cilindradas;qtd_portas;qtd_assentos;modelo_veiculo;marca_veiculo;tipo_veiculo;valor_veiculo;vetor_caracteristica;id_vendedor_loja;nm_vendedor;nm_loja;cidade_loja;estado_loja;uf_loja;regiao_loja;id_dados_financiamento;prazo;faixa_score;id_tempo;mes;ano;qtd_veiculos;vlr_financiado;vlr_entrada;vlr_juros;vlr_operacao
11;4;1;0;0;0;226;São Paulo;São Paulo;SP;Funcionário Público;09. 61 a 65 anos;8;250;4;5;4;Audi RS7;Audi;cupê;1046000;{250, 4.0, 5, 4, 6};24;Breno Sales;Viamar;São Paulo;São Paulo;SP;Sudeste;6;12;02_BOM;11;Junho;2021;1;418400;627600;20920;439320
12;4;1;0;0;0;817;Curitiba;Paraná;PR;Militar;03. 31 a 35 anos;99;230;2;5;5;Volvo V60;Volvo;minivan;225950;{230, 2.0, 5, 5, 7};58;Maria Cecília Martins;Metrosul;Curitiba;Paraná;PR;Sul;4;48;01_EXCELENTE;9;Abril;2021;1;67785;158165;2033.55;69818.55
13;4;1;0;0;0;955;São José dos Pinhais;Paraná;PR;Empresário;05. 41 a 45 anos;32;230;3;5;5;BMW X5;BMW;SUV;597950;{230, 3.0, 5, 5, 2};64;Yago Barbosa;Barigui Seminovos;Curitiba;Paraná;PR;Sul;7;24;02_BOM;12;Julho;2021;1;418565;179385;20928.25;439493.25
14;4;1;0;0;0;137;Santo André;São Paulo;SP;Assalariado;05. 41 a 45 anos;62;204;1.4;5;5;Golf;Volkswagen;hatch;113490;{204, 1.4, 5, 5, 4};6;Bianca Fernandes;Armando Veículos;São Paulo;São Paulo;SP;Sudeste;6;12;02_BOM;5;Dezembro;2020;1;90792;22698;4539.6;95331.6
15;4;1;0;0;0;823;Curitiba;Paraná;PR;Profissional Liberal;05. 41 a 45 anos;27;236;2;4;5;BMW 4 Series;BMW;sedan;460950;{236, 2.0, 4, 5, 3};58;Maria Cecília Martins;Metrosul;Curitiba;Paraná;PR;Sul;1;12;01_EXCELENTE;2;Setembro;2020;1;276570;184380;8297.1;284867.1
16;4;1;0;0;0;138;Jandira;São Paulo;SP;Funcionário Público;03. 31 a 35 anos;36;240;2;2;4;Benz E Class;Mercedes-Benz;esportivo;557900;{240, 2.0, 2, 4, 10};19;Luna da Mota;Auto Shopping Cristal;São Paulo;São Paulo;SP;Sudeste;8;36;02_BOM;6;Janeiro;2021;1;334740;223160;16737;351477
17;4;1;0;0;0;581;Rio de Janeiro;Rio de Janeiro;RJ;Assalariado;03. 31 a 35 anos;64;200;5.7;4;5;Ram;Ram;caminhonete;427990;{200, 5.7, 4, 5, 8};34;Marcela Peixoto;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;5;60;01_EXCELENTE;4;Novembro;2020;1;299593;128397;8987.79;308580.79
18;4;1;0;0;0;960;São José dos Pinhais;Paraná;PR;Autonômo;04. 36 a 40 anos;67;195;1;5;5;Fiesta hatch;Ford;hatch;65325;{195, 1.0, 5, 5, 4};62;Rodrigo da Paz;Barigui Seminovos;Curitiba;Paraná;PR;Sul;10;12;03_RUIM;11;Junho;2021;2;13065;117585;914.55;13979.55
19;4;1;0;0;0;492;Rio de Janeiro;Rio de Janeiro;RJ;Autonômo;08. 56 a 60 anos;88;171;2;5;5;Sportage;Kia;SUV;195990;{171, 2.0, 5, 5, 2};43;Fernando da Conceição;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;7;24;02_BOM;5;Dezembro;2020;1;78396;117594;3919.8;82315.8
20;4;1;0;0;0;309;São Paulo;São Paulo;SP;Militar;03. 31 a 35 anos;4;230;2;5;5;Audi Q3;Audi;SUV;239990;{230, 2.0, 5, 5, 2};24;Breno Sales;Viamar;São Paulo;São Paulo;SP;Sudeste;3;36;01_EXCELENTE;8;Março;2021;1;191992;47998;5759.76;197751.76
21;4;1;0;0;0;37;Itapevi;São Paulo;SP;Profissional Liberal;05. 41 a 45 anos;24;213;2;2;4;BMW 1 Series couple;BMW;sedan;246950;{213, 2.0, 2, 4, 3};21;Emanuelly da Luz;Viamar;São Paulo;São Paulo;SP;Sudeste;6;12;02_BOM;7;Fevereiro;2021;1;74085;172865;3704.25;77789.25
22;4;1;0;0;0;357;São Paulo;São Paulo;SP;Empresário;03. 31 a 35 anos;75;198;1.6;3;2;MINI Cooper ;Mini;esportivo;151599;{198, 1.6, 3, 2, 10};6;Bianca Fernandes;Armando Veículos;São Paulo;São Paulo;SP;Sudeste;4;48;01_EXCELENTE;3;Outubro;2020;1;45479.7;106119.3;1364.391;46844.091
23;4;1;0;0;0;77;Osasco;São Paulo;SP;Autonômo;06. 46 a 50 anos;39;210;5.5;5;5;Benz G Class AMG;Mercedes-Benz;SUV;1685900;{210, 5.5, 5, 5, 2};28;Nicolas Cardoso;Mercadocar;São Paulo;São Paulo;SP;Sudeste;2;24;01_EXCELENTE;5;Dezembro;2020;1;1011540;674360;30346.2;1041886.2
24;4;1;0;0;0;653;Recreio dos Bandeirantes;Rio de Janeiro;RJ;Empresário;03. 31 a 35 anos;101;170;3;5;5;Pajero;Mitsubishi;SUV;348990;{170, 3.0, 5, 5, 2};45;Maria Cecília Silva;Simcauto;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;8;36;02_BOM;9;Abril;2021;1;314091;34899;15704.55;329795.55
25;4;1;0;0;0;997;Pinhais;Paraná;PR;Militar;06. 46 a 50 anos;83;195;3;5;5;Discovery;Land Rover;SUV;586450;{195, 3.0, 5, 5, 2};57;Lucas Gabriel Moraes;Metrosul;Curitiba;Paraná;PR;Sul;8;36;02_BOM;13;Agosto;2021;1;293225;293225;14661.25;307886.25
26;4;1;0;0;0;359;São Paulo;São Paulo;SP;Funcionário Público;05. 41 a 45 anos;35;226;1.8;4;5;Benz C Class;Mercedes-Benz;sedan;237900;{226, 1.8, 4, 5, 3};29;Carolina da Cunha;Caraigá;São Paulo;São Paulo;SP;Sudeste;6;12;02_BOM;8;Março;2021;1;166530;71370;8326.5;174856.5
27;4;1;0;0;0;454;Rio de Janeiro;Rio de Janeiro;RJ;Assalariado;05. 41 a 45 anos;87;186;1.6;4;5;Cerato;Kia;sedan;129990;{186, 1.6, 4, 5, 3};39;Clarice Barbosa;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;14;24;04_PESSIMO;1;Agosto;2020;1;51996;77994;5199.6;57195.6
28;4;1;0;0;0;475;Rio de Janeiro;Rio de Janeiro;RJ;Militar;08. 56 a 60 anos;15;210;1.6;4;5;BMW 3 Series;BMW;sedan;245043;{210, 1.6, 4, 5, 3};41;Cecília da Cruz;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;8;36;02_BOM;9;Abril;2021;1;122521.5;122521.5;6126.075;128647.575
29;4;1;0;0;0;313;São Paulo;São Paulo;SP;Empresário;01. 18 a 24 anos;5;234;3;5;5;Audi Q5;Audi;SUV;352990;{234, 3.0, 5, 5, 2};2;Pedro Henrique Ferreira;Aracai;Guarulhos;São Paulo;SP;Sudeste;1;12;01_EXCELENTE;9;Abril;2021;1;105897;247093;3176.91;109073.91
30;4;1;0;0;0;970;São José dos Pinhais;Paraná;PR;Funcionário Público;06. 46 a 50 anos;65;195;1.6;5;5;New Focus hatch;Ford;hatch;65235;{195, 1.6, 5, 5, 4};60;Rafael Farias;Metrosul;Curitiba;Paraná;PR;Sul;14;24;04_PESSIMO;4;Novembro;2020;2;39141;91329;3914.1;43055.1
31;4;1;0;0;0;707;Niterói;Rio de Janeiro;RJ;Empresário;06. 46 a 50 anos;24;213;2;2;4;BMW 1 Series couple;BMW;sedan;246950;{213, 2.0, 2, 4, 3};35;Ana Pereira;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;9;48;02_BOM;1;Agosto;2020;1;172865;74085;8643.25;181508.25
32;4;1;0;0;0;233;São Paulo;São Paulo;SP;Autonômo;07. 51 a 55 anos;67;195;1;5;5;Fiesta hatch;Ford;hatch;65325;{195, 1.0, 5, 5, 4};32;Beatriz Dias;Caraigá;São Paulo;São Paulo;SP;Sudeste;1;12;01_EXCELENTE;9;Abril;2021;1;26130;39195;783.9;26913.9
33;4;1;0;0;0;862;Curitiba;Paraná;PR;Autonômo;01. 18 a 24 anos;40;250;5.5;5;5;Benz M Class AMG;Mercedes-Benz;SUV;744900;{250, 5.5, 5, 5, 2};57;Lucas Gabriel Moraes;Metrosul;Curitiba;Paraná;PR;Sul;2;24;01_EXCELENTE;9;Abril;2021;1;744900;0;22347;767247
34;4;1;0;0;0;712;Niterói;Rio de Janeiro;RJ;Assalariado;06. 46 a 50 anos;97;168;1.3;5;5;Yaris;Toyota;hatch;84090;{168, 1.3, 5, 5, 4};41;Cecília da Cruz;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;3;36;01_EXCELENTE;1;Agosto;2020;1;33636;50454;1009.08;34645.08
35;4;1;0;0;0;489;Rio de Janeiro;Rio de Janeiro;RJ;Assalariado;05. 41 a 45 anos;98;230;2;4;5;Volvo S60;Volvo;sedan;381950;{230, 2.0, 4, 5, 3};42;Mirella Campos;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;8;36;02_BOM;1;Agosto;2020;1;267365;114585;13368.25;280733.25
36;4;1;0;0;0;141;Diadema;São Paulo;SP;Assalariado;02. 26 a 30 anos;55;242;3;5;5;Cayenne hybrid;Porsche;SUV;537178;{242, 3.0, 5, 5, 2};7;Lívia Sales;Armando Veículos;São Paulo;São Paulo;SP;Sudeste;1;12;01_EXCELENTE;4;Novembro;2020;1;214871.2;322306.8;6446.136;221317.336
37;4;1;0;0;0;169;Santo André;São Paulo;SP;Militar;05. 41 a 45 anos;14;300;4.2;2;2;Audi R8;Audi;esportivo;1485695;{300, 4.2, 2, 2, 10};5;Bruno Cunha;Armando Veículos;São Paulo;São Paulo;SP;Sudeste;7;24;02_BOM;2;Setembro;2020;1;1337125.5;148569.5;66856.275;1403981.775
38;4;1;0;0;0;729;Niterói;Rio de Janeiro;RJ;Funcionário Público;01. 18 a 24 anos;28;240;2;5;5;BMW 5 Series;BMW;cupê;425950;{240, 2.0, 5, 5, 6};44;João Vitor da Mota;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;1;12;01_EXCELENTE;13;Agosto;2021;1;383355;42595;11500.65;394855.65
39;4;1;0;0;0;732;Niterói;Rio de Janeiro;RJ;Profissional Liberal;06. 46 a 50 anos;21;250;4.4;4;5;BMW M5;BMW;sedan;1006950;{250, 4.4, 4, 5, 3};33;Catarina Carvalho;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;1;12;01_EXCELENTE;1;Agosto;2020;1;1006950;0;30208.5;1037158.5
40;4;1;0;0;0;936;São José dos Pinhais;Paraná;PR;Autonômo;07. 51 a 55 anos;54;239;3;5;5;Cayenne;Porsche;SUV;527776;{239, 3.0, 5, 5, 2};59;Pedro Moraes;Metrosul;Curitiba;Paraná;PR;Sul;1;12;01_EXCELENTE;13;Agosto;2021;1;474998.4;52777.6;14249.952;489248.352
41;4;1;0;0;0;99;Cotia;São Paulo;SP;Assalariado;02. 26 a 30 anos;52;262;3;5;4;Panamera;Porsche;esportivo;649000;{262, 3.0, 5, 4, 10};19;Luna da Mota;Auto Shopping Cristal;São Paulo;São Paulo;SP;Sudeste;5;60;01_EXCELENTE;6;Janeiro;2021;1;389400;259600;11682;401082
42;4;1;0;0;0;440;Rio de Janeiro;Rio de Janeiro;RJ;Aposentado;10. Acima de 65 anos;67;195;1;5;5;Fiesta hatch;Ford;hatch;65325;{195, 1.0, 5, 5, 4};39;Clarice Barbosa;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;2;24;01_EXCELENTE;10;Maio;2021;5;45727.5;280897.5;1371.825;47099.325
43;4;1;0;0;0;858;Curitiba;Paraná;PR;Funcionário Público;09. 61 a 65 anos;54;239;3;5;5;Cayenne;Porsche;SUV;527776;{239, 3.0, 5, 5, 2};58;Maria Cecília Martins;Metrosul;Curitiba;Paraná;PR;Sul;6;12;02_BOM;2;Setembro;2020;1;211110.4;316665.6;10555.52;221665.92
44;4;1;0;0;0;392;São Paulo;São Paulo;SP;Militar;07. 51 a 55 anos;36;240;2;2;4;Benz E Class;Mercedes-Benz;esportivo;557900;{240, 2.0, 2, 4, 10};20;Isaac Nascimento;Auto Shopping Cristal;São Paulo;São Paulo;SP;Sudeste;3;36;01_EXCELENTE;13;Agosto;2021;1;278950;278950;8368.5;287318.5
45;4;1;0;0;0;589;Rio de Janeiro;Rio de Janeiro;RJ;Assalariado;05. 41 a 45 anos;44;240;2;4;5;Benz CLA Class;Mercedes-Benz;sedan;327900;{240, 2.0, 4, 5, 3};33;Catarina Carvalho;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;2;24;01_EXCELENTE;6;Janeiro;2021;1;196740;131160;5902.2;202642.2
46;4;1;0;0;0;270;São Paulo;São Paulo;SP;Assalariado;01. 18 a 24 anos;52;262;3;5;4;Panamera;Porsche;esportivo;649000;{262, 3.0, 5, 4, 10};21;Emanuelly da Luz;Viamar;São Paulo;São Paulo;SP;Sudeste;9;48;02_BOM;4;Novembro;2020;1;584100;64900;29205;613305
47;4;1;0;0;0;82;São Caetano do Sul;São Paulo;SP;Empresário;08. 56 a 60 anos;55;242;3;5;5;Cayenne hybrid;Porsche;SUV;537178;{242, 3.0, 5, 5, 2};10;Isabelly Moraes;AutoStar;São Paulo;São Paulo;SP;Sudeste;3;36;01_EXCELENTE;2;Setembro;2020;1;483460.2;53717.8;14503.806;497964.006
48;4;1;0;0;0;754;Niterói;Rio de Janeiro;RJ;Assalariado;09. 61 a 65 anos;91;255;2.5;4;5;Impreza sedan;Subaru;sedan;192900;{255, 2.5, 4, 5, 3};33;Catarina Carvalho;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;8;36;02_BOM;13;Agosto;2021;1;135030;57870;6751.5;141781.5
49;4;1;0;0;0;245;São Paulo;São Paulo;SP;Autonômo;08. 56 a 60 anos;12;235;2.5;5;5;Audi A7;Audi;cupê;492033;{235, 2.5, 5, 5, 6};5;Bruno Cunha;Armando Veículos;São Paulo;São Paulo;SP;Sudeste;1;12;01_EXCELENTE;8;Março;2021;1;344423.1;147609.9;10332.693;354755.793
50;4;1;0;0;0;528;Rio de Janeiro;Rio de Janeiro;RJ;Empresário;05. 41 a 45 anos;87;186;1.6;4;5;Cerato;Kia;sedan;129990;{186, 1.6, 4, 5, 3};39;Clarice Barbosa;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;12;36;03_RUIM;11;Junho;2021;1;103992;25998;7279.44;111271.44
51;4;1;0;0;0;830;Curitiba;Paraná;PR;Funcionário Público;03. 31 a 35 anos;64;200;5.7;4;5;Ram;Ram;caminhonete;427990;{200, 5.7, 4, 5, 8};57;Lucas Gabriel Moraes;Metrosul;Curitiba;Paraná;PR;Sul;9;48;02_BOM;8;Março;2021;1;342392;85598;17119.6;359511.6
52;4;1;0;0;0;446;Rio de Janeiro;Rio de Janeiro;RJ;Profissional Liberal;09. 61 a 65 anos;52;262;3;5;4;Panamera;Porsche;esportivo;649000;{262, 3.0, 5, 4, 10};38;Clara Cavalcanti;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;8;36;02_BOM;7;Fevereiro;2021;1;584100;64900;29205;613305
53;4;1;0;0;0;5;Barueri;São Paulo;SP;Funcionário Público;05. 41 a 45 anos;58;200;1.4;4;5;Passat;Volkswagen;sedan;164620;{200, 1.4, 4, 5, 3};25;Sarah Gonçalves;Mercadocar;São Paulo;São Paulo;SP;Sudeste;2;24;01_EXCELENTE;6;Janeiro;2021;1;115234;49386;3457.02;118691.02
54;4;1;0;0;0;38;Carapicuíba;São Paulo;SP;Profissional Liberal;01. 18 a 24 anos;75;198;1.6;3;2;MINI Cooper ;Mini;esportivo;151599;{198, 1.6, 3, 2, 10};23;Isis Cavalcanti;Viamar;São Paulo;São Paulo;SP;Sudeste;9;48;02_BOM;3;Outubro;2020;1;30319.8;121279.2;1515.99;31835.79
55;4;1;0;0;0;289;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos;82;190;2;5;5;ix35;Hyundai;SUV;118200;{190, 2.0, 5, 5, 2};31;Samuel Moreira;Caraigá;São Paulo;São Paulo;SP;Sudeste;10;12;03_RUIM;4;Novembro;2020;1;35460;82740;2482.2;37942.2
56;4;1;0;0;0;576;Rio de Janeiro;Rio de Janeiro;RJ;Aposentado;10. Acima de 65 anos;18;250;3;2;4;BMW 1 Series M;BMW;sedan;259950;{250, 3.0, 2, 4, 3};35;Ana Pereira;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;2;24;01_EXCELENTE;5;Dezembro;2020;1;77985;181965;2339.55;80324.55
57;4;1;0;0;0;189;São Caetano do Sul;São Paulo;SP;Empresário;04. 36 a 40 anos;59;185;1.4;5;5;Tiguan;Volkswagen;SUV;236090;{185, 1.4, 5, 5, 2};1;Gustavo Henrique Fogaça;Aracai;Guarulhos;São Paulo;SP;Sudeste;8;36;02_BOM;8;Março;2021;1;118045;118045;5902.25;123947.25
58;4;1;0;0;0;110;Itapevi;São Paulo;SP;Assalariado;08. 56 a 60 anos;19;250;3;4;5;BMW M3;BMW;sedan;757950;{250, 3.0, 4, 5, 3};20;Isaac Nascimento;Auto Shopping Cristal;São Paulo;São Paulo;SP;Sudeste;7;24;02_BOM;13;Agosto;2021;1;227385;530565;11369.25;238754.25
59;4;1;0;0;0;533;Rio de Janeiro;Rio de Janeiro;RJ;Assalariado;09. 61 a 65 anos;54;239;3;5;5;Cayenne;Porsche;SUV;527776;{239, 3.0, 5, 5, 2};36;Fernanda Viana;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;2;24;01_EXCELENTE;11;Junho;2021;1;527776;0;15833.28;543609.28
60;4;1;0;0;0;938;São José dos Pinhais;Paraná;PR;Empresário;04. 36 a 40 anos;69;182;1.4;3;4;FIAT 500;Fiat;hatch;239990;{182, 1.4, 3, 4, 4};64;Yago Barbosa;Barigui Seminovos;Curitiba;Paraná;PR;Sul;7;24;02_BOM;9;Abril;2021;1;143994;95996;7199.7;151193.7
61;4;1;0;0;0;71;São Bernardo do Campo;São Paulo;SP;Assalariado;09. 61 a 65 anos;81;315;3.8;2;4;Nissan GT-R;Nissan;esportivo;900000;{315, 3.8, 2, 4, 10};28;Nicolas Cardoso;Mercadocar;São Paulo;São Paulo;SP;Sudeste;4;48;01_EXCELENTE;5;Dezembro;2020;1;360000;540000;10800;370800
62;4;1;0;0;0;351;São Paulo;São Paulo;SP;Profissional Liberal;04. 36 a 40 anos;65;195;1.6;5;5;New Focus hatch;Ford;hatch;65235;{195, 1.6, 5, 5, 4};32;Beatriz Dias;Caraigá;São Paulo;São Paulo;SP;Sudeste;11;24;03_RUIM;12;Julho;2021;1;39141;26094;2739.87;41880.87
63;4;1;0;0;0;594;Rio de Janeiro;Rio de Janeiro;RJ;Empresário;07. 51 a 55 anos;96;190;2;4;5;Camry;Toyota;sedan;318690;{190, 2.0, 4, 5, 3};40;Lucas Gabriel da Rosa;Eurobarra;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;13;12;04_PESSIMO;2;Setembro;2020;1;159345;159345;15934.5;175279.5
64;4;1;0;0;0;705;Niterói;Rio de Janeiro;RJ;Profissional Liberal;06. 46 a 50 anos;40;250;5.5;5;5;Benz M Class AMG;Mercedes-Benz;SUV;744900;{250, 5.5, 5, 5, 2};36;Fernanda Viana;Robmar Automóveis;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;7;24;02_BOM;2;Setembro;2020;1;670410;74490;33520.5;703930.5
65;4;1;0;0;0;360;São Paulo;São Paulo;SP;Empresário;01. 18 a 24 anos;64;200;5.7;4;5;Ram;Ram;caminhonete;427990;{200, 5.7, 4, 5, 8};5;Bruno Cunha;Armando Veículos;São Paulo;São Paulo;SP;Sudeste;15;36;04_PESSIMO;9;Abril;2021;1;256794;171196;25679.4;282473.4
66;4;1;0;0;0;841;Curitiba;Paraná;PR;Assalariado;02. 26 a 30 anos;38;250;6.2;4;5;Benz C Class AMG;Mercedes-Benz;sedan;489900;{250, 6.2, 4, 5, 3};61;Luiz Henrique Rodrigues;Barigui Seminovos;Curitiba;Paraná;PR;Sul;7;24;02_BOM;9;Abril;2021;1;195960;293940;9798;205758
67;4;1;0;0;0;260;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos;81;315;3.8;2;4;Nissan GT-R;Nissan;esportivo;900000;{315, 3.8, 2, 4, 10};22;Davi Lucas Moura;Viamar;São Paulo;São Paulo;SP;Sudeste;2;24;01_EXCELENTE;5;Dezembro;2020;1;720000;180000;21600;741600
68;4;1;0;0;0;119;São Caetano do Sul;São Paulo;SP;Empresário;06. 46 a 50 anos;7;250;4.2;2;4;Audi RS5;Audi;sedan;679990;{250, 4.2, 2, 4, 3};27;João Pedro Viana;Mercadocar;São Paulo;São Paulo;SP;Sudeste;3;36;01_EXCELENTE;2;Setembro;2020;1;203997;475993;6119.91;210116.91
69;4;1;0;0;0;716;Niterói;Rio de Janeiro;RJ;Militar;03. 31 a 35 anos;33;240;3;5;4;BMW X6;BMW;SUV;662950;{240, 3.0, 5, 4, 2};45;Maria Cecília Silva;Simcauto;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;9;48;02_BOM;7;Fevereiro;2021;1;596655;66295;29832.75;626487.75
70;4;1;0;0;0;453;Rio de Janeiro;Rio de Janeiro;RJ;Autonômo;07. 51 a 55 anos;51;223;2;5;5;Macan;Porsche;SUV;415000;{223, 2.0, 5, 5, 2};41;Cecília da Cruz;Jedean Multimarcas;Rio de Janeiro;Rio de Janeiro;RJ;Sudeste;4;48;01_EXCELENTE;5;Dezembro;2020;1;415000;0;12450;427450
71;4;1;0;0;0;869;Curitiba;Paraná;PR;Empresário;02. 26 a 30 anos;15;210;1.6;4;5;BMW 3 Series;BMW;sedan;245043;{210, 1.6, 4, 5, 3};60;Rafael Farias;Metrosul;Curitiba;Paraná;PR;Sul;13;12;04_PESSIMO;1;Agosto;2020;1;73512.9;171530.1;7351.29;80864.19
72;4;1;0;0;0;240;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos;63;181;1.4;4;5;Jetta;Volkswagen;sedan;137720;{181, 1.4, 4, 5, 3};15;Elisa da Cruz;Audi Center Alphaville;Barueri;São Paulo;SP;Sudeste;5;60;01_EXCELENTE;8;Março;2021;1;137720;0;4131.6;141851.6
73;4;1;0;0;0;372;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos;57;182;1.4;5;5;Polo hatch;Volkswagen;hatch;67670;{182, 1.4, 5, 5, 4};10;Isabelly Moraes;AutoStar;São Paulo;São Paulo;SP;Sudeste;5;60;01_EXCELENTE;2;Setembro;2020;1;67670;0;2030.1;69700.1
