id_cliente;cidade_cliente;estado_cliente;uf_cliente;ocupacao;faixa_idade
41;Cotia;São Paulo;SP;Assalariado;02. 26 a 30 anos
42;Carapicuíba;São Paulo;SP;Autonômo;02. 26 a 30 anos
43;Guarulhos;São Paulo;SP;Aposentado;10. Acima de 65 anos
44;Carapicuíba;São Paulo;SP;Empresário;09. 61 a 65 anos
45;Mairiporã;São Paulo;SP;Militar;02. 26 a 30 anos
46;São Caetano do Sul;São Paulo;SP;Militar;04. 36 a 40 anos
47;São Caetano do Sul;São Paulo;SP;Autonômo;01. 18 a 24 anos
48;Itapevi;São Paulo;SP;Autonômo;09. 61 a 65 anos
49;Barueri;São Paulo;SP;Empresário;04. 36 a 40 anos
50;Barueri;São Paulo;SP;Autonômo;08. 56 a 60 anos
51;Mairiporã;São Paulo;SP;Autonômo;02. 26 a 30 anos
52;São Caetano do Sul;São Paulo;SP;Autonômo;08. 56 a 60 anos
53;Diadema;São Paulo;SP;Empresário;04. 36 a 40 anos
54;Mairiporã;São Paulo;SP;Funcionário Público;04. 36 a 40 anos
55;Cotia;São Paulo;SP;Assalariado;01. 18 a 24 anos
56;São Caetano do Sul;São Paulo;SP;Militar;04. 36 a 40 anos
57;São Bernardo do Campo;São Paulo;SP;Empresário;09. 61 a 65 anos
58;São Bernardo do Campo;São Paulo;SP;Autonômo;08. 56 a 60 anos
59;Carapicuíba;São Paulo;SP;Funcionário Público;03. 31 a 35 anos
60;São Paulo;São Paulo;SP;Militar;06. 46 a 50 anos
61;Carapicuíba;São Paulo;SP;Autonômo;01. 18 a 24 anos
62;Jandira;São Paulo;SP;Autonômo;04. 36 a 40 anos
63;Santo André;São Paulo;SP;Assalariado;04. 36 a 40 anos
64;Osasco;São Paulo;SP;Aposentado;10. Acima de 65 anos
65;São Caetano do Sul;São Paulo;SP;Profissional Liberal;05. 41 a 45 anos
66;Cotia;São Paulo;SP;Funcionário Público;08. 56 a 60 anos
67;Santo André;São Paulo;SP;Empresário;04. 36 a 40 anos
68;Guarulhos;São Paulo;SP;Funcionário Público;05. 41 a 45 anos
69;Guarulhos;São Paulo;SP;Aposentado;10. Acima de 65 anos
70;Itapecerica da Serra;São Paulo;SP;Militar;05. 41 a 45 anos
71;São Bernardo do Campo;São Paulo;SP;Assalariado;09. 61 a 65 anos
72;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
73;Taboão da Serra;São Paulo;SP;Profissional Liberal;01. 18 a 24 anos
74;São Paulo;São Paulo;SP;Profissional Liberal;04. 36 a 40 anos
75;Jandira;São Paulo;SP;Empresário;01. 18 a 24 anos
76;São Bernardo do Campo;São Paulo;SP;Profissional Liberal;02. 26 a 30 anos
77;Osasco;São Paulo;SP;Autonômo;06. 46 a 50 anos
78;São Bernardo do Campo;São Paulo;SP;Empresário;03. 31 a 35 anos
79;Taboão da Serra;São Paulo;SP;Aposentado;10. Acima de 65 anos
80;Osasco;São Paulo;SP;Profissional Liberal;04. 36 a 40 anos
81;Carapicuíba;São Paulo;SP;Assalariado;05. 41 a 45 anos
82;São Caetano do Sul;São Paulo;SP;Empresário;08. 56 a 60 anos
83;Taboão da Serra;São Paulo;SP;Autonômo;05. 41 a 45 anos
84;Mairiporã;São Paulo;SP;Militar;05. 41 a 45 anos
85;Taboão da Serra;São Paulo;SP;Assalariado;08. 56 a 60 anos
86;Jandira;São Paulo;SP;Autonômo;09. 61 a 65 anos
87;Taboão da Serra;São Paulo;SP;Assalariado;09. 61 a 65 anos
88;Guarulhos;São Paulo;SP;Autonômo;02. 26 a 30 anos
89;Taboão da Serra;São Paulo;SP;Autonômo;02. 26 a 30 anos
90;Itapecerica da Serra;São Paulo;SP;Assalariado;03. 31 a 35 anos
91;Jandira;São Paulo;SP;Autonômo;06. 46 a 50 anos
92;Taboão da Serra;São Paulo;SP;Militar;08. 56 a 60 anos
93;Barueri;São Paulo;SP;Autonômo;02. 26 a 30 anos
94;Guarulhos;São Paulo;SP;Aposentado;10. Acima de 65 anos
95;Osasco;São Paulo;SP;Empresário;05. 41 a 45 anos
96;Itapecerica da Serra;São Paulo;SP;Assalariado;04. 36 a 40 anos
97;Guarulhos;São Paulo;SP;Assalariado;06. 46 a 50 anos
98;São Bernardo do Campo;São Paulo;SP;Assalariado;05. 41 a 45 anos
99;Cotia;São Paulo;SP;Assalariado;02. 26 a 30 anos
100;Jandira;São Paulo;SP;Profissional Liberal;03. 31 a 35 anos
101;Santo André;São Paulo;SP;Assalariado;02. 26 a 30 anos
102;Mairiporã;São Paulo;SP;Assalariado;06. 46 a 50 anos
103;Itapevi;São Paulo;SP;Funcionário Público;03. 31 a 35 anos
104;Carapicuíba;São Paulo;SP;Profissional Liberal;02. 26 a 30 anos
105;Jandira;São Paulo;SP;Empresário;08. 56 a 60 anos
106;Taboão da Serra;São Paulo;SP;Empresário;03. 31 a 35 anos
107;Diadema;São Paulo;SP;Militar;04. 36 a 40 anos
108;Osasco;São Paulo;SP;Aposentado;10. Acima de 65 anos
109;Jandira;São Paulo;SP;Empresário;03. 31 a 35 anos
110;Itapevi;São Paulo;SP;Assalariado;08. 56 a 60 anos
111;São Paulo;São Paulo;SP;Assalariado;07. 51 a 55 anos
112;Mairiporã;São Paulo;SP;Profissional Liberal;09. 61 a 65 anos
113;Cotia;São Paulo;SP;Assalariado;03. 31 a 35 anos
114;Itapecerica da Serra;São Paulo;SP;Autonômo;05. 41 a 45 anos
115;Itapecerica da Serra;São Paulo;SP;Funcionário Público;09. 61 a 65 anos
116;Itapecerica da Serra;São Paulo;SP;Aposentado;10. Acima de 65 anos
117;Osasco;São Paulo;SP;Militar;05. 41 a 45 anos
118;Itapecerica da Serra;São Paulo;SP;Funcionário Público;09. 61 a 65 anos
119;São Caetano do Sul;São Paulo;SP;Empresário;06. 46 a 50 anos
120;São Caetano do Sul;São Paulo;SP;Assalariado;09. 61 a 65 anos
121;Barueri;São Paulo;SP;Militar;04. 36 a 40 anos
122;Taboão da Serra;São Paulo;SP;Funcionário Público;06. 46 a 50 anos
123;Santo André;São Paulo;SP;Assalariado;02. 26 a 30 anos
124;Jandira;São Paulo;SP;Profissional Liberal;06. 46 a 50 anos
125;Osasco;São Paulo;SP;Empresário;05. 41 a 45 anos
126;Itapevi;São Paulo;SP;Militar;07. 51 a 55 anos
127;Cotia;São Paulo;SP;Empresário;01. 18 a 24 anos
128;Jandira;São Paulo;SP;Autonômo;04. 36 a 40 anos
129;Guarulhos;São Paulo;SP;Autonômo;03. 31 a 35 anos
130;Taboão da Serra;São Paulo;SP;Assalariado;03. 31 a 35 anos
131;Diadema;São Paulo;SP;Assalariado;06. 46 a 50 anos
132;Taboão da Serra;São Paulo;SP;Militar;05. 41 a 45 anos
133;Mairiporã;São Paulo;SP;Assalariado;07. 51 a 55 anos
134;São Caetano do Sul;São Paulo;SP;Autonômo;07. 51 a 55 anos
135;São Bernardo do Campo;São Paulo;SP;Profissional Liberal;07. 51 a 55 anos
136;São Paulo;São Paulo;SP;Assalariado;05. 41 a 45 anos
137;Santo André;São Paulo;SP;Assalariado;05. 41 a 45 anos
138;Jandira;São Paulo;SP;Funcionário Público;03. 31 a 35 anos
139;Carapicuíba;São Paulo;SP;Assalariado;05. 41 a 45 anos
140;São Bernardo do Campo;São Paulo;SP;Assalariado;05. 41 a 45 anos
141;Diadema;São Paulo;SP;Assalariado;02. 26 a 30 anos
142;Osasco;São Paulo;SP;Profissional Liberal;05. 41 a 45 anos
143;Osasco;São Paulo;SP;Funcionário Público;04. 36 a 40 anos
144;Itapevi;São Paulo;SP;Aposentado;10. Acima de 65 anos
145;Itapecerica da Serra;São Paulo;SP;Empresário;08. 56 a 60 anos
146;Itapecerica da Serra;São Paulo;SP;Funcionário Público;03. 31 a 35 anos
147;Taboão da Serra;São Paulo;SP;Assalariado;09. 61 a 65 anos
148;Taboão da Serra;São Paulo;SP;Empresário;01. 18 a 24 anos
149;Mairiporã;São Paulo;SP;Empresário;07. 51 a 55 anos
150;Itapecerica da Serra;São Paulo;SP;Assalariado;04. 36 a 40 anos
151;Barueri;São Paulo;SP;Autonômo;02. 26 a 30 anos
152;Santo André;São Paulo;SP;Funcionário Público;04. 36 a 40 anos
153;Jandira;São Paulo;SP;Profissional Liberal;05. 41 a 45 anos
154;Barueri;São Paulo;SP;Empresário;06. 46 a 50 anos
155;Barueri;São Paulo;SP;Empresário;05. 41 a 45 anos
156;Carapicuíba;São Paulo;SP;Aposentado;10. Acima de 65 anos
157;Itapecerica da Serra;São Paulo;SP;Empresário;09. 61 a 65 anos
158;Itapevi;São Paulo;SP;Empresário;01. 18 a 24 anos
159;Cotia;São Paulo;SP;Profissional Liberal;01. 18 a 24 anos
160;São Bernardo do Campo;São Paulo;SP;Profissional Liberal;07. 51 a 55 anos
161;Taboão da Serra;São Paulo;SP;Autonômo;05. 41 a 45 anos
162;Carapicuíba;São Paulo;SP;Empresário;06. 46 a 50 anos
163;Cotia;São Paulo;SP;Profissional Liberal;05. 41 a 45 anos
164;Barueri;São Paulo;SP;Profissional Liberal;04. 36 a 40 anos
165;Mairiporã;São Paulo;SP;Militar;04. 36 a 40 anos
166;Osasco;São Paulo;SP;Funcionário Público;07. 51 a 55 anos
167;Taboão da Serra;São Paulo;SP;Assalariado;05. 41 a 45 anos
168;Carapicuíba;São Paulo;SP;Funcionário Público;09. 61 a 65 anos
169;Santo André;São Paulo;SP;Militar;05. 41 a 45 anos
170;Taboão da Serra;São Paulo;SP;Autonômo;09. 61 a 65 anos
171;Mairiporã;São Paulo;SP;Profissional Liberal;05. 41 a 45 anos
172;Guarulhos;São Paulo;SP;Aposentado;10. Acima de 65 anos
173;Mairiporã;São Paulo;SP;Funcionário Público;06. 46 a 50 anos
174;Itapevi;São Paulo;SP;Assalariado;09. 61 a 65 anos
175;Taboão da Serra;São Paulo;SP;Aposentado;10. Acima de 65 anos
176;Osasco;São Paulo;SP;Funcionário Público;02. 26 a 30 anos
177;Osasco;São Paulo;SP;Profissional Liberal;03. 31 a 35 anos
178;Jandira;São Paulo;SP;Autonômo;01. 18 a 24 anos
179;São Paulo;São Paulo;SP;Assalariado;09. 61 a 65 anos
180;Barueri;São Paulo;SP;Assalariado;05. 41 a 45 anos
181;Itapevi;São Paulo;SP;Autonômo;05. 41 a 45 anos
182;Carapicuíba;São Paulo;SP;Autonômo;07. 51 a 55 anos
183;São Bernardo do Campo;São Paulo;SP;Funcionário Público;02. 26 a 30 anos
184;Itapecerica da Serra;São Paulo;SP;Profissional Liberal;06. 46 a 50 anos
185;Diadema;São Paulo;SP;Funcionário Público;01. 18 a 24 anos
186;Cotia;São Paulo;SP;Autonômo;07. 51 a 55 anos
187;Santo André;São Paulo;SP;Funcionário Público;07. 51 a 55 anos
188;São Bernardo do Campo;São Paulo;SP;Empresário;07. 51 a 55 anos
189;São Caetano do Sul;São Paulo;SP;Empresário;04. 36 a 40 anos
190;Carapicuíba;São Paulo;SP;Aposentado;10. Acima de 65 anos
191;Mairiporã;São Paulo;SP;Profissional Liberal;03. 31 a 35 anos
192;Cotia;São Paulo;SP;Autonômo;05. 41 a 45 anos
193;Osasco;São Paulo;SP;Assalariado;03. 31 a 35 anos
194;São Paulo;São Paulo;SP;Funcionário Público;06. 46 a 50 anos
195;Itapecerica da Serra;São Paulo;SP;Autonômo;06. 46 a 50 anos
196;Osasco;São Paulo;SP;Empresário;03. 31 a 35 anos
197;São Paulo;São Paulo;SP;Assalariado;02. 26 a 30 anos
198;Itapecerica da Serra;São Paulo;SP;Autonômo;06. 46 a 50 anos
199;São Bernardo do Campo;São Paulo;SP;Assalariado;03. 31 a 35 anos
200;São Paulo;São Paulo;SP;Assalariado;08. 56 a 60 anos
201;São Paulo;São Paulo;SP;Assalariado;04. 36 a 40 anos
202;São Paulo;São Paulo;SP;Autonômo;05. 41 a 45 anos
203;São Paulo;São Paulo;SP;Assalariado;05. 41 a 45 anos
204;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
205;São Paulo;São Paulo;SP;Militar;07. 51 a 55 anos
206;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
207;São Paulo;São Paulo;SP;Assalariado;07. 51 a 55 anos
208;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
209;São Paulo;São Paulo;SP;Militar;06. 46 a 50 anos
210;São Paulo;São Paulo;SP;Autonômo;04. 36 a 40 anos
211;São Paulo;São Paulo;SP;Assalariado;04. 36 a 40 anos
212;São Paulo;São Paulo;SP;Militar;07. 51 a 55 anos
213;São Paulo;São Paulo;SP;Empresário;05. 41 a 45 anos
214;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos
215;São Paulo;São Paulo;SP;Militar;04. 36 a 40 anos
216;São Paulo;São Paulo;SP;Assalariado;02. 26 a 30 anos
217;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos
218;São Paulo;São Paulo;SP;Funcionário Público;07. 51 a 55 anos
219;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
220;São Paulo;São Paulo;SP;Funcionário Público;09. 61 a 65 anos
221;São Paulo;São Paulo;SP;Funcionário Público;07. 51 a 55 anos
222;São Paulo;São Paulo;SP;Militar;06. 46 a 50 anos
223;São Paulo;São Paulo;SP;Empresário;02. 26 a 30 anos
224;São Paulo;São Paulo;SP;Assalariado;02. 26 a 30 anos
225;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
226;São Paulo;São Paulo;SP;Funcionário Público;09. 61 a 65 anos
227;São Paulo;São Paulo;SP;Militar;09. 61 a 65 anos
228;São Paulo;São Paulo;SP;Assalariado;07. 51 a 55 anos
229;São Paulo;São Paulo;SP;Funcionário Público;01. 18 a 24 anos
230;São Paulo;São Paulo;SP;Empresário;02. 26 a 30 anos
231;São Paulo;São Paulo;SP;Funcionário Público;03. 31 a 35 anos
232;São Paulo;São Paulo;SP;Autonômo;02. 26 a 30 anos
233;São Paulo;São Paulo;SP;Autonômo;07. 51 a 55 anos
234;São Paulo;São Paulo;SP;Assalariado;01. 18 a 24 anos
235;São Paulo;São Paulo;SP;Assalariado;06. 46 a 50 anos
236;São Paulo;São Paulo;SP;Funcionário Público;01. 18 a 24 anos
237;São Paulo;São Paulo;SP;Profissional Liberal;03. 31 a 35 anos
238;São Paulo;São Paulo;SP;Empresário;03. 31 a 35 anos
239;São Paulo;São Paulo;SP;Empresário;01. 18 a 24 anos
240;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
241;São Paulo;São Paulo;SP;Militar;09. 61 a 65 anos
242;São Paulo;São Paulo;SP;Assalariado;04. 36 a 40 anos
243;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos
244;São Paulo;São Paulo;SP;Autonômo;06. 46 a 50 anos
245;São Paulo;São Paulo;SP;Autonômo;08. 56 a 60 anos
246;São Paulo;São Paulo;SP;Profissional Liberal;08. 56 a 60 anos
247;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos
248;São Paulo;São Paulo;SP;Funcionário Público;03. 31 a 35 anos
249;São Paulo;São Paulo;SP;Militar;02. 26 a 30 anos
250;São Paulo;São Paulo;SP;Funcionário Público;07. 51 a 55 anos
251;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
252;São Paulo;São Paulo;SP;Empresário;01. 18 a 24 anos
253;São Paulo;São Paulo;SP;Assalariado;09. 61 a 65 anos
254;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
255;São Paulo;São Paulo;SP;Profissional Liberal;07. 51 a 55 anos
256;São Paulo;São Paulo;SP;Assalariado;05. 41 a 45 anos
257;São Paulo;São Paulo;SP;Assalariado;07. 51 a 55 anos
258;São Paulo;São Paulo;SP;Empresário;05. 41 a 45 anos
259;São Paulo;São Paulo;SP;Empresário;07. 51 a 55 anos
260;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos
261;São Paulo;São Paulo;SP;Profissional Liberal;03. 31 a 35 anos
262;São Paulo;São Paulo;SP;Assalariado;07. 51 a 55 anos
263;São Paulo;São Paulo;SP;Assalariado;09. 61 a 65 anos
264;São Paulo;São Paulo;SP;Funcionário Público;09. 61 a 65 anos
265;São Paulo;São Paulo;SP;Militar;08. 56 a 60 anos
266;São Paulo;São Paulo;SP;Profissional Liberal;01. 18 a 24 anos
267;São Paulo;São Paulo;SP;Autonômo;03. 31 a 35 anos
268;São Paulo;São Paulo;SP;Empresário;03. 31 a 35 anos
269;São Paulo;São Paulo;SP;Militar;05. 41 a 45 anos
270;São Paulo;São Paulo;SP;Assalariado;01. 18 a 24 anos
271;São Paulo;São Paulo;SP;Autonômo;07. 51 a 55 anos
272;São Paulo;São Paulo;SP;Profissional Liberal;08. 56 a 60 anos
273;São Paulo;São Paulo;SP;Militar;03. 31 a 35 anos
274;São Paulo;São Paulo;SP;Assalariado;06. 46 a 50 anos
275;São Paulo;São Paulo;SP;Profissional Liberal;02. 26 a 30 anos
276;São Paulo;São Paulo;SP;Assalariado;02. 26 a 30 anos
277;São Paulo;São Paulo;SP;Militar;08. 56 a 60 anos
278;São Paulo;São Paulo;SP;Profissional Liberal;09. 61 a 65 anos
279;São Paulo;São Paulo;SP;Militar;03. 31 a 35 anos
280;São Paulo;São Paulo;SP;Profissional Liberal;03. 31 a 35 anos
281;São Paulo;São Paulo;SP;Autonômo;04. 36 a 40 anos
282;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
283;São Paulo;São Paulo;SP;Assalariado;09. 61 a 65 anos
284;São Paulo;São Paulo;SP;Militar;08. 56 a 60 anos
285;São Paulo;São Paulo;SP;Assalariado;07. 51 a 55 anos
286;São Paulo;São Paulo;SP;Assalariado;09. 61 a 65 anos
287;São Paulo;São Paulo;SP;Profissional Liberal;09. 61 a 65 anos
288;São Paulo;São Paulo;SP;Autonômo;04. 36 a 40 anos
289;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
290;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos
291;São Paulo;São Paulo;SP;Assalariado;09. 61 a 65 anos
292;São Paulo;São Paulo;SP;Assalariado;01. 18 a 24 anos
293;São Paulo;São Paulo;SP;Funcionário Público;07. 51 a 55 anos
294;São Paulo;São Paulo;SP;Funcionário Público;07. 51 a 55 anos
295;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos
296;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
297;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
298;São Paulo;São Paulo;SP;Autonômo;09. 61 a 65 anos
299;São Paulo;São Paulo;SP;Autonômo;03. 31 a 35 anos
300;São Paulo;São Paulo;SP;Empresário;06. 46 a 50 anos
301;São Paulo;São Paulo;SP;Assalariado;04. 36 a 40 anos
302;São Paulo;São Paulo;SP;Autonômo;09. 61 a 65 anos
303;São Paulo;São Paulo;SP;Militar;05. 41 a 45 anos
304;São Paulo;São Paulo;SP;Funcionário Público;06. 46 a 50 anos
305;São Paulo;São Paulo;SP;Militar;01. 18 a 24 anos
306;São Paulo;São Paulo;SP;Profissional Liberal;02. 26 a 30 anos
307;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
308;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos
309;São Paulo;São Paulo;SP;Militar;03. 31 a 35 anos
310;São Paulo;São Paulo;SP;Funcionário Público;09. 61 a 65 anos
311;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
312;São Paulo;São Paulo;SP;Militar;05. 41 a 45 anos
313;São Paulo;São Paulo;SP;Empresário;01. 18 a 24 anos
314;São Paulo;São Paulo;SP;Militar;08. 56 a 60 anos
315;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
316;São Paulo;São Paulo;SP;Assalariado;04. 36 a 40 anos
317;São Paulo;São Paulo;SP;Militar;07. 51 a 55 anos
318;São Paulo;São Paulo;SP;Funcionário Público;01. 18 a 24 anos
319;São Paulo;São Paulo;SP;Profissional Liberal;06. 46 a 50 anos
320;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
321;São Paulo;São Paulo;SP;Funcionário Público;03. 31 a 35 anos
322;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
323;São Paulo;São Paulo;SP;Funcionário Público;04. 36 a 40 anos
324;São Paulo;São Paulo;SP;Profissional Liberal;04. 36 a 40 anos
325;São Paulo;São Paulo;SP;Funcionário Público;04. 36 a 40 anos
326;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos
327;São Paulo;São Paulo;SP;Assalariado;06. 46 a 50 anos
328;São Paulo;São Paulo;SP;Empresário;02. 26 a 30 anos
329;São Paulo;São Paulo;SP;Empresário;01. 18 a 24 anos
330;São Paulo;São Paulo;SP;Militar;03. 31 a 35 anos
331;São Paulo;São Paulo;SP;Empresário;03. 31 a 35 anos
332;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
333;São Paulo;São Paulo;SP;Funcionário Público;04. 36 a 40 anos
334;São Paulo;São Paulo;SP;Assalariado;06. 46 a 50 anos
335;São Paulo;São Paulo;SP;Assalariado;09. 61 a 65 anos
336;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos
337;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
338;São Paulo;São Paulo;SP;Militar;02. 26 a 30 anos
339;São Paulo;São Paulo;SP;Assalariado;09. 61 a 65 anos
340;São Paulo;São Paulo;SP;Profissional Liberal;03. 31 a 35 anos
341;São Paulo;São Paulo;SP;Militar;04. 36 a 40 anos
342;São Paulo;São Paulo;SP;Funcionário Público;02. 26 a 30 anos
343;São Paulo;São Paulo;SP;Empresário;09. 61 a 65 anos
344;São Paulo;São Paulo;SP;Funcionário Público;07. 51 a 55 anos
345;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
346;São Paulo;São Paulo;SP;Assalariado;04. 36 a 40 anos
347;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
348;São Paulo;São Paulo;SP;Assalariado;07. 51 a 55 anos
349;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
350;São Paulo;São Paulo;SP;Profissional Liberal;03. 31 a 35 anos
351;São Paulo;São Paulo;SP;Profissional Liberal;04. 36 a 40 anos
352;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
353;São Paulo;São Paulo;SP;Assalariado;05. 41 a 45 anos
354;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos
355;São Paulo;São Paulo;SP;Assalariado;07. 51 a 55 anos
356;São Paulo;São Paulo;SP;Assalariado;08. 56 a 60 anos
357;São Paulo;São Paulo;SP;Empresário;03. 31 a 35 anos
358;São Paulo;São Paulo;SP;Autonômo;08. 56 a 60 anos
359;São Paulo;São Paulo;SP;Funcionário Público;05. 41 a 45 anos
360;São Paulo;São Paulo;SP;Empresário;01. 18 a 24 anos
361;São Paulo;São Paulo;SP;Assalariado;07. 51 a 55 anos
362;São Paulo;São Paulo;SP;Autonômo;03. 31 a 35 anos
363;São Paulo;São Paulo;SP;Funcionário Público;07. 51 a 55 anos
364;São Paulo;São Paulo;SP;Assalariado;05. 41 a 45 anos
365;São Paulo;São Paulo;SP;Militar;06. 46 a 50 anos
366;São Paulo;São Paulo;SP;Empresário;05. 41 a 45 anos
367;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos
368;São Paulo;São Paulo;SP;Assalariado;03. 31 a 35 anos
369;São Paulo;São Paulo;SP;Funcionário Público;05. 41 a 45 anos
370;São Paulo;São Paulo;SP;Profissional Liberal;03. 31 a 35 anos
371;São Paulo;São Paulo;SP;Profissional Liberal;01. 18 a 24 anos
372;São Paulo;São Paulo;SP;Aposentado;10. Acima de 65 anos
373;São Paulo;São Paulo;SP;Assalariado;07. 51 a 55 anos
374;São Paulo;São Paulo;SP;Assalariado;06. 46 a 50 anos
375;São Paulo;São Paulo;SP;Autonômo;02. 26 a 30 anos
376;São Paulo;São Paulo;SP;Profissional Liberal;09. 61 a 65 anos
377;São Paulo;São Paulo;SP;Militar;03. 31 a 35 anos
378;São Paulo;São Paulo;SP;Profissional Liberal;06. 46 a 50 anos
379;São Paulo;São Paulo;SP;Militar;03. 31 a 35 anos
380;São Paulo;São Paulo;SP;Militar;01. 18 a 24 anos
381;São Paulo;São Paulo;SP;Profissional Liberal;01. 18 a 24 anos
382;São Paulo;São Paulo;SP;Assalariado;09. 61 a 65 anos
383;São Paulo;São Paulo;SP;Funcionário Público;03. 31 a 35 anos
384;São Paulo;São Paulo;SP;Profissional Liberal;07. 51 a 55 anos
385;São Paulo;São Paulo;SP;Assalariado;07. 51 a 55 anos
386;São Paulo;São Paulo;SP;Militar;07. 51 a 55 anos
387;São Paulo;São Paulo;SP;Assalariado;01. 18 a 24 anos
